Inventory : Ad Unit Summary,,,,,,,,,
NOTE: This Report Includes Real Time Data.,,,,,,,,,
Report Inputs:,,,,,,,,,
Start Date:,,2017-06-05,,,,,,,
End Date:,,2017-06-05,,,,,,,
Sites Selected:,,None Selected (default to all applicable values).,,,,,,,
Ad Unit Sizes Selected:,,None Selected (default to all applicable values).,,,,,,,
 ,,,,,,,,,
Report Data:,,,,,,,,,
Site Name,Site ID,Ad Unit,Ad Unit ID,Currency,Ad Requests,Billable Impressions Delivered,Revenue,eCPM,Fill Rate (%)
100874_28200696_Mobile (www.thecottagemama.com),537184692,100874_BTF_300x250_28200696_2M,537394237,USD,90,30,0.013031,0.434366,33.333333
100782_28200696_Web (www.mumsmakelists.com),537179163,100782_BTF_300x250_28200696_2W,537318871,USD,544,128,0.055237,0.431539,23.529411
101058_28200696_Mobile (www.simplyfrugal.ca),537191824,101058_BTF_300x250_28200696_4M,537936894,USD,16,2,0.000936,0.468000,12.500000
100368_28200696_Mobile (www.homeschoolcreations.net),537133203,100368_BTF_300x250_28200696_3M,537208196,USD,17,6,0.003156,0.526000,35.294117
101594_28200696_Web (www.americancrochet.com),537273825,101594_BTF_300x250_28200696_4W,538600445,USD,84,59,0.032308,0.547593,70.238095
101667_28200696_Web (www.thebakingbit.com),537287084,101667_BTF_300x250_28200696_1W,538582318,USD,2,1,0.000299,0.299000,50.000000
100112_28200696_Web (www.justusfourblog.com),537088014,100112_BTF_300x250_28200696_2W,537117104,USD,27,13,0.006120,0.470769,48.148148
100888_28200696_Web (www.thebensonstreet.com),537184720,100888_BTF_300x250_28200696_1W,537394518,USD,22,9,0.005186,0.576222,40.909090
101016_28200696_Web (www.kidsonaplane.com),537189899,101016_BTF_300x250_28200696_1W,537672194,USD,40,20,0.008879,0.443950,50.000000
101120_28200696_Web (www.loveoffamilyandhome.net),537197098,101120_ATF_300x250_28200696_1W,537992671,USD,23,7,0.003668,0.524000,30.434782
100769_28200696_Web (www.theinscribermag.com),537294896,100769_ATF_300x250_28200696_1W,538629236,USD,49,29,0.014902,0.513862,59.183673
101036_28200696_Mobile (www.thehealthyapple.com),537190523,101036_BTF_300x250_28200696_2M,537736582,USD,2,0,0.000000,0.000000,0.000000
101884_28200696_Web (www.aplaceforpitbulls.com),537311456,101884_BTF_300x250_28200696_2W,538761242,USD,2,0,0.000000,0.000000,0.000000
101179_28200696_Mobile (www.betsylife.com),537203281,101179_MBL_300x250_28200696_1M,538029100,USD,"1,757",532,0.217968,0.409714,30.278884
101084_28200696_Mobile (www.cultofmoney.com),537193460,101084_BTF_300x250_28200696_2M,537971592,USD,37,20,0.009729,0.486450,54.054054
100654_28200696_Mobile (www.dimpleprints.com),537163995,100654_BTF_300x250_28200696_1M,537278433,USD,13,3,0.001330,0.443333,23.076923
101750_28200696_Web (www.homestead-and-survival.com),537294569,101750_ATF_728x90_28200696_1W,538627307,USD,225,38,0.021703,0.571131,16.888888
101430_28200696_Web (www.earthables.com),537252635,101430_BTF_300x250_28200696_2W,538336072,USD,702,185,0.083028,0.448800,26.353276
101597_28200696_Web (www.sapdev.co.uk),537274163,101597_BTF_300x250_28200696_1W,538493786,USD,2,0,0.000000,0.000000,0.000000
100366_28200696_Web (www.1plus1plus1equals1.net),537133198,100366_BTF_300x250_28200696_4W,537977876,USD,746,228,0.090921,0.398776,30.563002
100876_28200696_Mobile (www.whilehewasnapping.com),537184696,100876_BTF_300x250_28200696_1M,537394294,USD,186,33,0.020788,0.629939,17.741935
101582_28200696_Web (www.hintsandtipsblog.com),537271506,101582_BTF_300x250_28200696_2W,538477697,USD,99,71,0.042097,0.592915,71.717171
100290_28200696_Mobile (www.noshon.it),537124489,100290_BTF_300x250_28200696_1M,537191492,USD,324,91,0.048151,0.529131,28.086419
100760_28200696_Web (www.titicrafty.com),537177635,100760_BTF_300x250_28200696_6W,538444385,USD,713,127,0.054001,0.425204,17.812061
100121_28200696_Mobile (www.babesinhairland.com),537097944,100121_MBL_300x250_28200696_6M,538139571,USD,113,33,0.018053,0.547060,29.203539
100430_28200696_Web (www.733blog.com),537142599,100430_BTF_728x90_28200696_1W,537231798,USD,124,60,0.054204,0.903400,48.387096
101465_28200696_Web (www.lovehomedesigns.com),537257909,101465_BTF_300x250_28200696_5W,538375920,USD,124,65,0.029706,0.457015,52.419354
100877_28200696_Mobile (www.thismamaloves.com),537184698,100877_BTF_300x250_28200696_3M,537394300,USD,318,117,0.064723,0.553188,36.792452
