Date,Placements,Impressions,Revenue($),Viewable Impressions
2017-07-08,100010_tone-and-tighten.com_Cross Device,6680,6.15,483
2017-07-08,100020_alittleclaireification.com_Cross Device,622,0.44,47
2017-07-08,100022_TheMamasGirls.com_Cross Device,2851,3.05,522
2017-07-08,100048_katiescucina.com_Cross Device,366,1.24,66
2017-07-08,100053_jensfavoritecookies.com_Cross Device,1656,2.06,234
2017-07-08,100060_lovegrowswild.com_Cross Device,8051,9.23,696
2017-07-08,100061_sullengers.com_Cross Device,219,0.13,27
2017-07-08,100070_myuncommonsliceofsuburbia.com_Cross Device,999,0.53,189
2017-07-08,100079_Coupon-wizards.com_Cross Device,568,0.42,67
2017-07-08,100120_fooddonelight.com_Cross Device,811,0.63,59
2017-07-08,100121_BabesInHairland.com_Cross Device,1209,0.56,118
2017-07-08,100129_themomoftheyear.net_Cross Device,678,0.67,10
2017-07-08,100141_gourmandeinthekitchen.com_Cross Device,1795,1.88,32
2017-07-08,100154_healthygreenkitchen.com_Cross Device,440,0.80,241
2017-07-08,100157_isavea2z.com_Cross Device,0,0,0
2017-07-08,100158_home-ec101.com_Cross Device,6564,8.42,1855
2017-07-08,100187_simplyhappenstance.com_Cross Device,288,0.27,28
2017-07-08,100194_southyourmouth.com_Cross Device,4773,11.11,895
2017-07-08,100204_crafterhoursblog.com_Cross Device,881,0.36,112
2017-07-08,100213_raegunramblings.com_Cross Device,675,1.37,112
2017-07-08,100223_southernrevivals.com_Cross Device,400,1.13,42
2017-07-08,100242_frysauceandgrits.com_Cross Device,409,0.28,34
2017-07-08,100247_simplesimonandco.com_Cross Device,2838,2.37,442
2017-07-08,100251_mynewestaddiction.com_Cross Device,604,0.29,121
2017-07-08,100264_apronstringsblog.com_Cross Device,992,0.88,22
2017-07-08,100279_beinggenevieve.com_Cross Device,221,0.04,25
2017-07-08,100293_andersruff.com_Cross Device,684,0.48,216
2017-07-08,100298_sergerpepper.com_Cross Device,758,0.47,8
2017-07-08,100303_foodstoragemoms.com_Cross Device,792,1.32,277
2017-07-08,100309_beyerbeware.net_Cross Device,3644,4.55,234
2017-07-08,100317_wildflowerramblings.com_Cross Device,1459,1.11,27
2017-07-08,100339_girllovesglam.com_Cross Device,1033,0.65,242
2017-07-08,100345_leslieannetarabella.com_Cross Device,141,0.07,49
2017-07-08,100349_cozycountryliving.com_Cross Device,1909,1.57,67
2017-07-08,100357_happyandblessedhome.com_Cross Device,680,0.36,63
2017-07-08,100387_entirelyeventfulday.com_Cross Device,169,0.22,54
2017-07-08,100404_sevenclowncircus.com_Cross Device,110,0.05,1
2017-07-08,100408_club.chicacircle.com_Cross Device,1731,1.27,45
2017-07-08,100420_craftsmandrive.com_Cross Device,52,0.05,19
2017-07-08,100424_CityFarmHouse.com_Cross Device,4054,3.96,292
2017-07-08,100444_migonishome.porch.com_Cross Device,17,0.01,1
2017-07-08,100474_amittenfullofsavings.com_Cross Device,1056,0.57,50
2017-07-08,100485_eat-drink-love.com_Cross Device,2058,1.84,262
2017-07-08,100486_thenerdswife.com_Cross Device,1640,0.65,184
2017-07-08,100493_OurThriftyIdeas.com_Cross Device,517,0.14,120
2017-07-08,100498_carrieelle.com_Cross Device,5322,3.80,377
2017-07-08,100499_dreambookdesign.com_Cross Device,134,0.23,38
2017-07-08,100511_athomewithnatalie.com_Cross Device,638,0.26,91
2017-07-08,100517_bakedinthesouth.com_Cross Device,1347,1.64,11
2017-07-08,100519_allthingsgd.com_Cross Device,929,0.70,158
2017-07-08,100528_carissamiss.com_Cross Device,179,0.15,7
2017-07-08,100529_foodstorageandsurvival.com_Cross Device,760,0.57,32
2017-07-08,100545_simpleethrifty.com_Cross Device,277,0.26,19
2017-07-08,100551_onelittleproject.com_Cross Device,23589,18.30,1286
2017-07-08,100559_FoodieMisadventures.com_Cross Device,1007,0.58,227
2017-07-08,100562_larkscountryheart.com_Cross Device,0,0,0
2017-07-08,100575_pinkheelspinktruck.com_Cross Device,452,0.14,61
2017-07-08,100584_tosimplyinspire.com_Cross Device,4836,5.93,271
2017-07-08,100588_amyscreativeside.com_Cross Device,318,0.07,29
2017-07-08,100602_savvyhomemaking.com_Cross Device,226,0.35,35
2017-07-08,100614_weusecoupons.com_Cross Device,330,0.01,13
2017-07-08,100621_lynnskitchenadventures.com_Cross Device,1993,1.63,93
2017-07-08,100629_momstestkitchen.com_Cross Device,363,0.25,4
2017-07-08,100658_shrinkingkitchen.com_Cross Device,756,0.65,87
2017-07-08,100664_missiontosave.com_Cross Device,569,0.27,38
2017-07-08,100674_goingawesomeplaces.com_Cross Device,928,0.60,126
2017-07-08,100709_simplyhealthyhome.com_Cross Device,404,0.76,65
2017-07-08,100718_worthingcourtblog.com_Cross Device,4,0,0
2017-07-08,100719_cornerstoneconfessions.com_Cross Device,843,0.43,158
2017-07-08,100720_layersofhappiness.com_Cross Device,11714,12.79,877
2017-07-08,100721_lilacsandlonghorns.com_Cross Device,181,0.07,32
2017-07-08,100722_savetosplurge.com_Cross Device,1,0,0
2017-07-08,100723_apple-of-my-eye.com_Cross Device,808,1.20,355
2017-07-08,100735_findingsilverpennies.com_Cross Device,1165,1.34,210
2017-07-08,100744_ablossominglife.com_Cross Device,1133,1.36,67
2017-07-08,100747_willivia.com_Cross Device,194,0.04,16
2017-07-08,100752_lifewithlevi.com_Cross Device,53,0.04,10
2017-07-08,100760_titicrafty.com_Cross Device,5440,1.55,270
2017-07-08,100765_sweetpenniesfromheaven.com_Cross Device,137,0.11,1
2017-07-08,100766_thegoldensycamore.com_Cross Device,447,0.37,83
2017-07-08,100769_theinscribermag.com_Cross Device,1,0.00,1
2017-07-08,100778_meandmyinsanity.com_Cross Device,188,0.24,29
2017-07-08,100779_askamanager.org_Cross Device,15904,41.13,3610
2017-07-08,100784_intheplayroom.co.uk_Cross Device,981,1.15,216
2017-07-08,100795_imalazymom.com_Cross Device,779,0.91,114
2017-07-08,100799_thebeautifulusefulproject.com_Cross Device,241,0.07,24
2017-07-08,100819_interactive-biology.com_Cross Device,611,0.96,259
2017-07-08,100820_thisheartofmineblog.com_Cross Device,0,0,0
2017-07-08,100838_houseontheway.com_Cross Device,1242,1.41,100
2017-07-08,100854_diyfunideas.com_Cross Device,3437,4.78,310
2017-07-08,100860_thedailyseam.com_Cross Device,584,0.08,138
2017-07-08,100867_michalenecerqua.com_Cross Device,152,0.06,1
2017-07-08,100869_cookistry.com_Cross Device,464,0.62,85
2017-07-08,100873_americanheritagecooking.com_Cross Device,3224,5.46,21
2017-07-08,100874_thecottagemama.com_Cross Device,2033,1.56,512
2017-07-08,100880_creatingandco.com_Cross Device,164,0.07,45
2017-07-08,100884_momhomeguide.com_Cross Device,163,0.14,38
2017-07-08,100888_thebensonstreet.com_Cross Device,363,0.38,27
2017-07-08,100903_shockinglydelicious.com_Cross Device,1457,0.73,177
2017-07-08,100906_veggieandthebeastfeast.com_Cross Device,760,0.89,82
2017-07-08,100910_thecentsiblelife.com_Cross Device,346,0.22,51
2017-07-08,100916_fakeginger.com_Cross Device,3749,2.85,163
2017-07-08,100918_ahomewithpurpose.com_Cross Device,1359,1.68,192
2017-07-08,100920_hairbuddha.net_Cross Device,8628,6.72,749
2017-07-08,100922_paleoonabudget.com_Cross Device,231,0.28,17
2017-07-08,100924_glutenfreeguidehq.com_Cross Device,4781,2.72,183
2017-07-08,100932_busy-mommy.com_Cross Device,410,0.35,91
2017-07-08,100943_freetimefrolics.com_Cross Device,14,0.02,2
2017-07-08,100955_morewithlesstoday.com_Cross Device,20,0,1
2017-07-08,100956_solveyourtech.com_Cross Device,10305,11.66,6281
2017-07-08,100975_basilmomma.com_Cross Device,401,0.29,25
2017-07-08,100985_udupi-recipes.com_Cross Device,2357,1.04,370
2017-07-08,100994_gingersnapcrafts.com_Cross Device,1579,1.64,210
2017-07-08,100996_sowanddipity.com_Cross Device,582,0.48,149
2017-07-08,100999_domesticfits.com_Cross Device,0,0,0
2017-07-08,101005_itsafabulouslife.com_Cross Device,11,0.00,0
2017-07-08,101015_geniabeme.com_Cross Device,27,0.04,6
2017-07-08,101016_kidsonaplane.com_Cross Device,749,0.71,403
2017-07-08,101017_thewonderforest.com_Cross Device,4063,2.28,566
2017-07-08,101025_appunwrapper.com_Cross Device,52846,13.97,798
2017-07-08,101026_sprinklebakes.com_Cross Device,3374,1.91,300
2017-07-08,101028_abirdandabean.com_Cross Device,128,0.31,3
2017-07-08,101035_mormonbuzzz.com_Cross Device,53,0.01,19
2017-07-08,101044_jennasuedesign.com/blog_Cross Device,446,0.13,46
2017-07-08,101052_bitesizedbiggie.com_Cross Device,762,0.47,175
2017-07-08,101058_simplyfrugal.ca_Cross Device,3,0.00,2
2017-07-08,101070_DreamHomebasedWork.com_Cross Device,19810,30.63,716
2017-07-08,101081_ldsmissionaries.com_Cross Device,199,0.15,27
2017-07-08,101084_cultofmoney.com_Cross Device,58,0.01,11
2017-07-08,101085_weheartparties.com_Cross Device,836,0.32,694
2017-07-08,101086_thestay-at-home-momsurvivalguide.com_Cross Device,899,0.50,342
2017-07-08,101096_fabnfree.com_Cross Device,3536,3.64,77
2017-07-08,101098_BackpackerBanter.com_Cross Device,926,0.29,78
2017-07-08,101103_careernook.com_Cross Device,2415,2.78,224
2017-07-08,101110_thislilpiglet.net_Cross Device,1446,1.45,583
