Date,Placements,Impressions,Revenue($),Viewable Impressions
2017-07-11,100010_tone-and-tighten.com_Cross Device,8393,5.18,506
2017-07-11,100020_alittleclaireification.com_Cross Device,776,0.88,89
2017-07-11,100022_TheMamasGirls.com_Cross Device,2842,3.63,441
2017-07-11,100048_katiescucina.com_Cross Device,371,0.56,76
2017-07-11,100053_jensfavoritecookies.com_Cross Device,1613,1.64,231
2017-07-11,100060_lovegrowswild.com_Cross Device,7761,12.61,621
2017-07-11,100061_sullengers.com_Cross Device,196,0.06,20
2017-07-11,100070_myuncommonsliceofsuburbia.com_Cross Device,1077,1.85,221
2017-07-11,100079_Coupon-wizards.com_Cross Device,705,0.54,79
2017-07-11,100120_fooddonelight.com_Cross Device,914,1.34,90
2017-07-11,100121_BabesInHairland.com_Cross Device,1833,0.90,209
2017-07-11,100129_themomoftheyear.net_Cross Device,975,0.50,6
2017-07-11,100141_gourmandeinthekitchen.com_Cross Device,1730,2.16,57
2017-07-11,100154_healthygreenkitchen.com_Cross Device,463,0.29,263
2017-07-11,100157_isavea2z.com_Cross Device,0,0,0
2017-07-11,100158_home-ec101.com_Cross Device,6224,8.28,1649
2017-07-11,100187_simplyhappenstance.com_Cross Device,310,0.44,20
2017-07-11,100194_southyourmouth.com_Cross Device,6046,13.68,1340
2017-07-11,100204_crafterhoursblog.com_Cross Device,877,0.66,109
2017-07-11,100213_raegunramblings.com_Cross Device,712,1.85,107
2017-07-11,100223_southernrevivals.com_Cross Device,403,1.93,42
2017-07-11,100242_frysauceandgrits.com_Cross Device,370,0.15,22
2017-07-11,100247_simplesimonandco.com_Cross Device,3017,4.17,519
2017-07-11,100251_mynewestaddiction.com_Cross Device,818,0.58,138
2017-07-11,100264_apronstringsblog.com_Cross Device,1142,1.87,31
2017-07-11,100279_beinggenevieve.com_Cross Device,255,0.09,38
2017-07-11,100293_andersruff.com_Cross Device,868,0.92,271
2017-07-11,100298_sergerpepper.com_Cross Device,1842,1.97,59
2017-07-11,100303_foodstoragemoms.com_Cross Device,507,2.15,143
2017-07-11,100309_beyerbeware.net_Cross Device,3651,5.16,212
2017-07-11,100317_wildflowerramblings.com_Cross Device,2773,4.57,56
2017-07-11,100339_girllovesglam.com_Cross Device,1058,1.34,248
2017-07-11,100345_leslieannetarabella.com_Cross Device,143,0.05,60
2017-07-11,100349_cozycountryliving.com_Cross Device,1747,1.31,58
2017-07-11,100357_happyandblessedhome.com_Cross Device,772,0.72,76
2017-07-11,100387_entirelyeventfulday.com_Cross Device,202,0.16,71
2017-07-11,100404_sevenclowncircus.com_Cross Device,156,0.11,0
2017-07-11,100408_club.chicacircle.com_Cross Device,2037,3.18,52
2017-07-11,100420_craftsmandrive.com_Cross Device,66,0.02,21
2017-07-11,100424_CityFarmHouse.com_Cross Device,3345,2.95,277
2017-07-11,100444_migonishome.porch.com_Cross Device,19,0.00,6
2017-07-11,100474_amittenfullofsavings.com_Cross Device,2682,4.32,98
2017-07-11,100485_eat-drink-love.com_Cross Device,2215,1.47,243
2017-07-11,100486_thenerdswife.com_Cross Device,1532,1.42,193
2017-07-11,100493_OurThriftyIdeas.com_Cross Device,588,0.36,141
2017-07-11,100498_carrieelle.com_Cross Device,5994,6.45,443
2017-07-11,100499_dreambookdesign.com_Cross Device,212,0.35,65
2017-07-11,100511_athomewithnatalie.com_Cross Device,525,0.36,76
2017-07-11,100517_bakedinthesouth.com_Cross Device,1307,1.54,14
2017-07-11,100519_allthingsgd.com_Cross Device,926,0.79,158
2017-07-11,100528_carissamiss.com_Cross Device,188,0.46,5
2017-07-11,100529_foodstorageandsurvival.com_Cross Device,719,1.01,17
2017-07-11,100545_simpleethrifty.com_Cross Device,292,0.27,19
2017-07-11,100551_onelittleproject.com_Cross Device,33130,26.66,1881
2017-07-11,100559_FoodieMisadventures.com_Cross Device,685,0.77,160
2017-07-11,100562_larkscountryheart.com_Cross Device,0,0,0
2017-07-11,100575_pinkheelspinktruck.com_Cross Device,435,0.10,63
2017-07-11,100584_tosimplyinspire.com_Cross Device,4258,5.30,241
2017-07-11,100588_amyscreativeside.com_Cross Device,303,0.05,27
2017-07-11,100602_savvyhomemaking.com_Cross Device,259,1.04,43
2017-07-11,100614_weusecoupons.com_Cross Device,276,0.02,13
2017-07-11,100621_lynnskitchenadventures.com_Cross Device,1301,0.96,61
2017-07-11,100629_momstestkitchen.com_Cross Device,300,0.09,4
