Date,Placements,Impressions,Revenue($),Viewable Impressions
2017-10-27,100005_SixSistersStuff.com_Cross Device,55954,84.96,9349
2017-10-27,100010_tone-and-tighten.com_Cross Device,3591,2.17,318
2017-10-27,100020_alittleclaireification.com_Cross Device,699,0.62,75
2017-10-27,100022_TheMamasGirls.com_Cross Device,2439,0.95,319
2017-10-27,100048_katiescucina.com_Cross Device,253,0.50,40
2017-10-27,100053_jensfavoritecookies.com_Cross Device,1987,1.82,324
2017-10-27,100060_lovegrowswild.com_Cross Device,7991,16.21,869
2017-10-27,100061_sullengers.com_Cross Device,1484,0.60,172
2017-10-27,100070_myuncommonsliceofsuburbia.com_Cross Device,703,0.38,162
2017-10-27,100079_Coupon-wizards.com_Cross Device,380,0.33,47
2017-10-27,100120_fooddonelight.com_Cross Device,680,0.59,65
2017-10-27,100121_BabesInHairland.com_Cross Device,1118,0.67,143
2017-10-27,100129_themomoftheyear.net_Cross Device,410,0.19,16
2017-10-27,100141_gourmandeinthekitchen.com_Cross Device,1419,1.25,39
2017-10-27,100154_healthygreenkitchen.com_Cross Device,493,0.46,89
2017-10-27,100158_home-ec101.com_Cross Device,3993,4.79,1004
2017-10-27,100187_simplyhappenstance.com_Cross Device,765,0.64,123
2017-10-27,100204_crafterhoursblog.com_Cross Device,574,0.45,84
2017-10-27,100213_raegunramblings.com_Cross Device,780,1.88,131
2017-10-27,100242_frysauceandgrits.com_Cross Device,438,0.47,45
2017-10-27,100264_apronstringsblog.com_Cross Device,895,0.82,32
2017-10-27,100293_andersruff.com_Cross Device,965,0.54,292
2017-10-27,100298_sergerpepper.com_Cross Device,1412,0.97,29
2017-10-27,100317_wildflowerramblings.com_Cross Device,1999,1.84,56
2017-10-27,100322_measuringflower.com_Cross Device,846,1.28,109
2017-10-27,100339_girllovesglam.com_Cross Device,2021,1.49,516
2017-10-27,100345_leslieannetarabella.com_Cross Device,1,0,1
2017-10-27,100349_cozycountryliving.com_Cross Device,1452,0.98,71
2017-10-27,100357_happyandblessedhome.com_Cross Device,835,0.45,75
2017-10-27,100387_entirelyeventfulday.com_Cross Device,158,0.19,41
2017-10-27,100404_sevenclowncircus.com_Cross Device,619,0.61,105
2017-10-27,100408_club.chicacircle.com_Cross Device,1922,1.33,38
2017-10-27,100420_craftsmandrive.com_Cross Device,53,0.06,25
2017-10-27,100424_CityFarmHouse.com_Cross Device,1908,2.26,138
2017-10-27,100444_migonishome.porch.com_Cross Device,12,0.01,6
2017-10-27,100485_eat-drink-love.com_Cross Device,1503,1.03,215
2017-10-27,100486_thenerdswife.com_Cross Device,1379,0.70,174
2017-10-27,100493_OurThriftyIdeas.com_Cross Device,843,0.69,200
2017-10-27,100499_dreambookdesign.com_Cross Device,128,0.15,35
2017-10-27,100511_athomewithnatalie.com_Cross Device,489,0.41,81
2017-10-27,100517_bakedinthesouth.com_Cross Device,1723,1.00,21
2017-10-27,100519_allthingsgd.com_Cross Device,889,0.72,138
2017-10-27,100528_carissamiss.com_Cross Device,141,0.09,18
2017-10-27,100529_foodstorageandsurvival.com_Cross Device,631,0.41,15
2017-10-27,100551_onelittleproject.com_Cross Device,75041,95.84,3029
2017-10-27,100559_FoodieMisadventures.com_Cross Device,2115,3.04,418
2017-10-27,100562_larkscountryheart.com_Cross Device,0,0,0
2017-10-27,100584_tosimplyinspire.com_Cross Device,2926,2.43,197
2017-10-27,100587_slowcookergourmet.net_Cross Device,20679,12.65,587
2017-10-27,100588_amyscreativeside.com_Cross Device,276,0.21,23
2017-10-27,100602_savvyhomemaking.com_Cross Device,128,0.22,24
2017-10-27,100614_weusecoupons.com_Cross Device,100,0.07,17
2017-10-27,100629_momstestkitchen.com_Cross Device,387,0.32,4
2017-10-27,100658_shrinkingkitchen.com_Cross Device,389,0.41,50
2017-10-27,100664_missiontosave.com_Cross Device,522,0.20,25
2017-10-27,100674_goingawesomeplaces.com_replacement,511,0.71,67
2017-10-27,100719_cornerstoneconfessions.com_Cross Device,870,0.62,137
2017-10-27,100720_layersofhappiness.com_Cross Device,8207,9.99,600
2017-10-27,100721_lilacsandlonghorns.com_Cross Device,159,0.12,31
2017-10-27,100722_savetosplurge.com_Cross Device,0,0,0
2017-10-27,100723_apple-of-my-eye.com_Cross Device,1484,1.80,641
2017-10-27,100744_ablossominglife.com_Cross Device,889,0.61,68
2017-10-27,100747_willivia.com_Cross Device,298,0.24,34
2017-10-27,100752_lifewithlevi.com_Cross Device,56,0.07,12
2017-10-27,100760_thecraftingnook.com_cross device,4814,1.02,152
2017-10-27,100765_sweetpenniesfromheaven.com_Cross Device,140,0.14,1
2017-10-27,100766_thegoldensycamore.com_Cross Device,446,0.24,75
2017-10-27,100776_gimmedelicious.com_Cross Device,2,0,0
2017-10-27,100778_meandmyinsanity.com_Cross Device,337,0.23,10
2017-10-27,100779_askamanager.org_Desktop,55478,248.56,13315
2017-10-27,100784_intheplayroom.co.uk_Cross Device,901,0.69,26
2017-10-27,100795_imalazymom.com_Cross Device,736,0.71,106
2017-10-27,100799_thebeautifulusefulproject.com_Cross Device,101,0.09,13
2017-10-27,100803_sandytoescreations.com_Cross Device,35,0.00,1
2017-10-27,100820_thisheartofmineblog.com_Cross Device,1291,0.90,145
2017-10-27,100848_workingmommagic.com_Cross Device,381,0.19,76
2017-10-27,100854_diyfunideas.com_Cross Device,2426,1.58,325
2017-10-27,100860_thedailyseam.com_Cross Device,408,0.18,115
2017-10-27,100867_michalenecerqua.com_Cross Device,102,0.11,2
2017-10-27,100873_americanheritagecooking.com_Cross Device,3551,5.76,19
2017-10-27,100874_thecottagemama.com_Cross Device,1687,1.11,414
2017-10-27,100880_creatingandco.com_Cross Device,88,0.07,32
2017-10-27,100884_momhomeguide.com_Cross Device,3058,2.60,215
2017-10-27,100888_thebensonstreet.com_Cross Device,441,0.40,49
2017-10-27,100903_shockinglydelicious.com_Cross Device,2022,2.52,257
2017-10-27,100906_veggieandthebeastfeast.com_Cross Device,842,0.72,75
2017-10-27,100910_thecentsiblelife.com_Cross Device,875,0.59,60
2017-10-27,100918_ahomewithpurpose.com_Cross Device,930,0.64,152
2017-10-27,100920_hairbuddha.net_Cross Device,6149,4.15,497
2017-10-27,100924_glutenfreeguidehq.com_Cross Device,0,0,0
