Date,Domain,"Ad Size","Ad Requests","Matched Ad Requests","Fill Rate","Estimated Net Earnings",eCPM
2018-01-24,askamanager.org,728x90,829714,26970,3.25,29.44,1.09
2018-01-24,askamanager.org,320x50,914828,24893,2.72,23.27,0.93
2018-01-24,askamanager.org,160x600,1024025,21459,2.1,21.92,1.02
2018-01-24,appunwrapper.com,300x250,1316564,11843,0.9,9.84,0.83
2018-01-24,ldsliving.com,728x90,2513530,3289,0.13,8.26,2.51
2018-01-24,heysigmund.com,300x250,364449,11298,3.1,7.41,0.66
2018-01-24,crossingbroad.com,300x250,124031,4449,3.59,6.47,1.45
2018-01-24,askamanager.org,300x250,214541,6263,2.92,6.36,1.01
2018-01-24,tamaratattles.com,300x250,250454,3776,1.51,5.27,1.4
2018-01-24,sixsistersstuff.com,300x250,280218,4270,1.52,5.13,1.2
2018-01-24,johnpavlovitz.com,320x50,1264400,5440,0.43,4.67,0.86
2018-01-24,ldsliving.com,300x250,107929,3362,3.12,3.97,1.18
2018-01-24,solveyourtech.com,300x250,148437,3106,2.09,3.68,1.19
2018-01-24,thedroidguy.com,728x90,64172,2410,3.76,3.67,1.52
2018-01-24,turtleboysports.com,300x250,710743,3848,0.54,3.36,0.87
2018-01-24,cooksinfo.com,300x250,93787,3697,3.94,3.23,0.87
2018-01-24,trustedpsychicmediums.com,300x250,255620,4544,1.78,3.17,0.7
2018-01-24,powerpyx.com,300x250,139853,3395,2.43,3.05,0.9
2018-01-24,summonerswar.co,728x90,74662,3064,4.1,2.88,0.94
2018-01-24,heysigmund.com,320x50,68634,4171,6.08,2.6,0.62
2018-01-24,usersub.com,728x90,73663,4938,6.7,2.3,0.46
2018-01-24,earth911.com,728x90,35032,1050,3,1.91,1.82
2018-01-24,crossingbroad.com,728x90,40225,952,2.37,1.87,1.97
2018-01-24,dailyspikes.com,728x90,63041,3588,5.69,1.83,0.51
2018-01-24,badgehungry.com,728x90,47800,1765,3.69,1.71,0.97
2018-01-24,tamaratattles.com,320x50,52291,1098,2.1,1.58,1.44
2018-01-24,soccerhighlightstoday.com,728x90,24347,1640,6.74,1.49,0.91
2018-01-24,sixsistersstuff.com,728x90,58009,1042,1.8,1.47,1.41
2018-01-24,tamaratattles.com,728x90,40746,983,2.41,1.38,1.41
2018-01-24,blogchef.net,300x250,47014,1115,2.37,1.38,1.24
2018-01-24,solveyourtech.com,160x600,17375,1039,5.98,1.34,1.29
2018-01-24,solveyourtech.com,300x600,8176,978,11.96,1.33,1.36
2018-01-24,callmepmc.com,300x250,82021,1396,1.7,1.3,0.93
2018-01-24,ikream.com,300x250,27193,1298,4.77,1.29,1
2018-01-24,johnpavlovitz.com,300x250,162518,1241,0.76,1.27,1.03
2018-01-24,ilovevegan.com,300x250,68991,1232,1.79,1.24,1.01
